Institutos,Título,Año,Autores,¿Mujeres?,DOI,reales/ficticios,tamaño,de donde,se puede usar,pacientes mexicanos,URL datos,LINK,cantidad de mujeres
57,INAOE;INAOE;INAOE;INAOE,Selección de parámetros en el enfoque de bolsa de características para clasificación de habla imaginada en electroencefalogramas,2017,Jesús S. García-Salinas;Luis Villaseñor-Pineda;Carlos Alberto Reyes-Garcia;Alejandro A. Torres-García,0,10.13053/rcs-140-1-10,reales,4455,Misma de Applying Brain Signals Sonification for Automatic Classification,con permiso,si,None,https://rcs.cic.ipn.mx/2017_140/Seleccion%20de%20parametros%20en%20el%20enfoque%20de%20bolsa%20de%20caracteristicas%20para%20clasificacion%20de%20habla.pdf,0
58,Universidad de Guadalajara;Universidad de Guadalajara;Universidad de Guadalajara;Universidad de Guadalajara;INAOE;Universidad de Guadalajara;Universidad de Guadalajara;Instituo Tecnologico de Aguascalientes,Artificial Visual System Used for Dental Fluorosis Discrimination,2016,Miguel Mora-Gonzalez;Evelia Martinez-Cano;Francisco J. Casillas-Rodriguez;Francisco G. Peña-Lecona;Carlos A. Reyes-García;Jesús Muñoz-Maciel;H. Ulises Rodríguez-Marmolejo,2,10.1007/978-3-319-28513-9_23,reales,15,creados,no,si,None,https://www.researchgate.net/publication/309150083_Artificial_Visual_System_Used_for_Dental_Fluorosis_Discrimination,1
59,University of Firenze;University of Firenze;INAOE;University of Bologna;University of Bologna;INAOE;University of Bologna;University of Bologna;University of Firenze,Analysis of Facial Expressions in Parkinson’s Disease Through Video-Based Automatic Methods,2017,Andrea Bandini;Silvia Orlandi;Hugo Jair Escalante;Fabio Giovannelli;Massimo Cincotta;Carlos A. ReyesGarcia;Paola Vanni;Gaetano Zaccara;Claudia Manfredi,1;2;7;9,10.1016/j.jneumeth.2017.02.006,reales,153,creados,no,no,None,https://www.researchgate.net/publication/313901575_Analysis_of_Facial_Expressions_in_Parkinson's_Disease_Through_Video-Based_Automatic_Methods,4
60,INAOE;INAOE;INAOE;Instituto Nacional de Rehabilitación,Infant Cry Classification Using Genetic Selection of a Fuzzy Model,2012,Alejandro Rosales-Pérez; Carlos A. Reyes-García;Jesus A. Gonzalez;Emilio Arch-Tirado,0,10.1007/978-3-642-33275-3_26,reales,1918,creados,no,si,None,https://www.researchgate.net/publication/290009266_Infant_Cry_Classification_Using_Genetic_Selection_of_a_Fuzzy_Model,0
61,INAOE;INAOE;INAOE,Genetic Fuzzy Relational Neural Network for Infant Cry Classification,2011,Alejandro Rosales-Pérez;Carlos A. Reyes-García;Pilar-Gomez-Gil,3,10.1007/978-3-642-21587-2_31,reales,1918, classification of infant cry databases built by the computer science deparment of the INAOE,con permiso,si,None,https://www.researchgate.net/publication/220827301_Genetic_Fuzzy_Relational_Neural_Network_for_Infant_Cry_Classification,1
62,INAOE;INAOE;INAOE;INAOE,Sonification and textification: Proposing methods for classifying unspoken words from EEG signals,2017,Erick F. González-Castaneda;Alejandro A. Torres-García;Carlos A. Reyes-García;Luis Villasenor-Pineda,0,https://doi.org/10.1016/j.bspc.2016.10.012,reales,4455,Análisis de señales electroencefalográficas para la clasificación de habla imaginada,con permiso,si,None,https://www.sciencedirect.com/science/article/abs/pii/S1746809416301744?via%3Dihub,0
63,BUAP;BUAP;INAOE;INAOE,Hacia un método de transferencia de aprendizaje en señales de EEG de habla imaginada ,2017,Jessica Nayeli López Espejel;Maya Carrillo Ruíz;Luis Villaseñor Pineda;Alejandro Torres García,1;2,10.13053/rcs-140-1-13,reales,4455,Análisis de señales electroencefalográficas para la clasificación de habla imaginada,con permirso,si,None,https://www.researchgate.net/publication/339236283_Hacia_un_metodo_de_transferencia_de_aprendizaje_en_senales_de_EEG_de_habla_imaginada,2
64,Universidad de Carabobo;Instituto Nacional de Neurología y Neurocirugía;Instituto Nacional de Neurología y Neurocirugía;BUAP;University College of London;INAOE;INAOE,"Automatic Recognition of Pain, Anxiety, Engagement and Tiredness for Virtual Rehabilitation from Stroke: A Marginalization Approach",2017,Jesus Joel Rivas;Lorena Palafox;Jorge Hernandez-Franco;María del Carmen Lara;Nadia Bianchi-Berthouze;Felipe Orihuela-Espina; Luis Enrique Sucar,2;4;5,10.1109/ACIIW.2017.8272607,reales,79,Detecting affective states in virtual rehabilitation,con permiso,si,None,https://www.researchgate.net/publication/338037194_Automatic_Recognition_of_Multiple_Affective_States_in_Virtual_Rehabilitation_by_Exploiting_the_Dependency_Relationships,3
65,INAOE;INAOE;INAOE;Instituto Nacional de Neurología y Neurocirugía;Instituto Nacional de Neurología y Neurocirugía;University College of London,Detecting affective states in virtual rehabilitation,2015,Jesús J.Rivas;Felipe Orihuela-Espina;L.Enrique Sucar;Lorena Palafox;Jorge Hernández-Franco;Nadia Bianchi-Berthouze,4;6,10.4108/icst.pervasivehealth.2015.259250,reales,79,creados,con permiso,si,None,https://www.researchgate.net/publication/301449553_Detecting_affective_states_in_virtual_rehabilitation,2
66,University of Trento;INAOE;INAOE;CREATE-NET;INAOE;CREATE-NET,Stress Modelling and Prediction in Presence of Scarce Data,2016,Alban Maxhuni;Pablo Hernandez-Leal;L. Enrique Sucar;Venet Osmani;Eduardo F. Morales;Oscar Mayora,0,10.1016/j.jbi.2016.08.023,reales,30,creados,no,no,None,https://www.researchgate.net/publication/304380472_Stress_Modelling_and_Prediction_in_Presence_of_Scarce_Data,0
67,INAOE;INAOE;INAOE;INAOE,Causal Probabilistic Graphical Models for Decoding Effective Connectivity in Functional Near InfraRed Spectroscopy,2016,Samuel Antonio Montero-Hernandez;Felipe Orihuela-Espina;Javier Herrera-Vega;Luis Enrique Sucar,0,https://www.aaai.org/ocs/index.php/FLAIRS/FLAIRS16/paper/viewPaper/12913,reales,310,(Leff et al. 2007) Imperial College London,con permiso,no,None,https://www.aaai.org/ocs/index.php/FLAIRS/FLAIRS16/paper/view/12913/12653,0
68,INAOE;INAOE;INAOE;INAOE,A naïve Bayes baseline for early gesture recognition,2016,"Hugo Jair Escalante;Eduardo F. Morales;L.Enrique Sucar",0,10.1016/j.patrec.2016.01.013,reales;reales;reales,240;2843;13883,MSRDaily3D;MAD;Montalbano,si;si;si,no;no;no,https://sites.google.com/view/wanqingli/data-sets/msr-dailyactivity3;http://humansensing.cs.cmu.edu/mad/ ;http://chalearnlap.cvc.uab.es/dataset/13/description/,https://www.researchgate.net/publication/293046015_A_naive_Bayes_baseline_for_early_gesture_recognition,0
69,INAOE;CRATE-NET;INAOE;CRATE-NET;INAOE;CREATE-NET,Stress Modelling Using Transfer Learning in Presence of Scarce Data,2015,Pablo Hernandez-Leal;Alban Maxhuni;L. Enrique Sucar;Venet Osmani;Eduardo F. Morales;Oscar Mayora,2,10.1007/978-3-319-26508-7_22,reales,1465,creados,no,no,None,https://www.researchgate.net/publication/295860589_Stress_Modelling_Using_Transfer_Learning_in_Presence_of_Scarce_Data,1
70,INAOE;INAOE;INAOE,User Modelling for Patient Tailored Virtual Rehabilitation,2015,Luis Enrique Sucar;Shender Maria Ávila-Sansores;Felipe Orihuela-Espina,2,10.1007/978-3-319-28007-3_17,reales,200,Adaptación en línea de una política de decisión utilizando aprendizaje por refuerzo y su aplicación en rehabilitación virtual.,con permiso,si,None,https://www.researchgate.net/publication/307934152_User_Modelling_for_Patient_Tailored_Virtual_Rehabilitation,1
71,INAOE;INAOE;Instituto Nacional de Enfermedades Respiratorias;Instituto Nacional de Enfermedades Respiratorias;INAOE;INAOE;INAOE;INAOE;INAOE,Discovering human immunodeficiency virus mutational pathways using temporal Bayesian networks,2013,Pablo Hernandez-Leal; Alma Rios-Flores;Santiago Ávila-Rios;Gustavo Reyes-Terán;Jesus A. Gonzalez;Lindsey Fiedler-Cameras;Felipe Orihuela-Espina;Eduardo F. Morales;L. Enrique Sucar,2;6,10.1016/j.artmed.2013.01.005,reales,2373,HIV Stanford database,si,no,https://hivdb.stanford.edu/,https://www.researchgate.net/publication/236126237_Discovering_human_immunodeficiency_virus_mutational_pathways_using_temporal_Bayesian_networks,2
72,INAOE;INAOE;INAOE;University College of London;University College of London;University College of London;Universisty College of London,Estimating Functional Connectivity Symmetry between Oxy- and Deoxy-Haemoglobin: Implications for fNIRS Connectivity Analysis,2018,Samuel Montero-Hernandez;Felipe Orihuela-Espina;Luis Enrique Sucar;Paola Pinti;Antonia Hamilton;Paul Burgess;Ilias Tachtsidis ,4;5,10.3390/a11050070,reales,96,"Using Fiberless, Wearable fNIRS to Monitor Brain Activity in Real-world Cognitive Tasks",con permismo,no,None,https://www.researchgate.net/publication/325125312_Estimating_Functional_Connectivity_Symmetry_between_Oxy-_and_Deoxy-Haemoglobin_Implications_for_fNIRS_Connectivity_Analysis#pff,2
73,INAOE;INAOE;INAOE;University College of London;University College of London,Automatic Recognition of Multiple Affective States in Virtual Rehabilitation by Exploiting the Dependency Relationships,2019,Jesús Joel Rivas;Felipe Orihuela Espina;Luis Enrique Sucar;Amanda Williams;Nadia Bianchi Berthouze,4;5,,reales,79,Unobtrusive inferenceof affective states in virtual rehabilitation from upper limb motions: Afeasibility study,con permiso,si,None,https://www.researchgate.net/publication/338037194_Automatic_Recognition_of_Multiple_Affective_States_in_Virtual_Rehabilitation_by_Exploiting_the_Dependency_Relationshipss,2
74,Instituto Tecnologico de Culiacan;Instituto Tecnologico de Culiacan;Instituto Tecnologico de Orizaba;INAOE,Emotion Recognition In Intelligent Tutoring Systems for Android-Based Mobile Devices,2017,Ramón Zatarain-Cabada;María Lucía Barrón-Estrada;Giner Alor-Hernández;Carlos A. Reyes-García,2,,reales;reales,8040;33,RAFD;creados,si;no,no;si,http://www.socsci.ru.nl:8180/RaFD2/RaFD?p=main;None,https://www.researchgate.net/publication/313851343_PaperGinerKargaCamera-Ready,1
75,INAOE;INAOE;INAOE;INAOE,Posture Based Detection of Attention in Human Computer Interaction,2014,Patrick Heyer;Javier Herrera-Vega;Dan-El N. Vila Rosado;Luis Enrique Sucar;Felipe Orihuela-Espina,0,10.1007/978-3-642-53842-1_19,reales,377,creados,no,si,None,https://www.researchgate.net/publication/259982775_Posture_Based_Detection_of_Attention_in_Human_Computer_Interaction,0
76,UNAM;Imperial College London;Imperial College London;Imperial College London;Imperial College London,Automatic optic disc detection in colour fundus images by means of multispectral analysis and information content,2019,M. Elena Martinez Perez;NIcholas Witt;Kim H. Parker; Alun D. Hughes; Simon A.M Thom,1,10.7717/peerj.7119,reales;reales;reales,1131;40;1200,SABRE;DRIVE;MESSIDOR,con permiso;si:si,no;no;no,None;https://drive.grand-challenge.org/;http://www.adcis.net/en/third-party/messidor/,https://peerj.com/articles/7119/,1
77,UNAM;Imperial College London;Imperial College London;Imperial College London;Imperial College London,AUTOMATIC CLASSIFICATION OF ARTERIAL AND VENULAR TREES IN COLOUR FUNDUS IMAGES,2018,M Elena Martinez-Perez;Kim Parker;Nick Witt;S.A.McG. Thom;Alun Hughes,1,https://doi.org/10.1016/j.artres.2018.10.192,reales;reales;reales;reales,20;17;20;40,St.Mary's Hospital;St.Mary's Hospital;HOOVER;DRIVE;Segmentation of blood vessels from red-free and fluorescein retinal images,con permiso;con permiso;si;si,no;no;no;no,None;None;www.ces.clemson.edu/∼ahoover/stare;https://drive.grand-challenge.org/,https://www.researchgate.net/publication/329409874_Automatic_classification_of_arterial_and_venular_trees_in_colour_fundus_images,1
78,UNAM;UNAM;Fundacion de Asistencia Privada Conde de Valenciana IAP;UNAM,Mean Shift Based Automatic Detection of Exudates in Retinal Images,2013,Juan Martin Cárdenas;M Elena Martinez Perez;Francesc March;Nidiyare Hevia-Montiel,2;4,10.1007/978-3-642-32384-3_10,reales,20,creados,no,si,None,https://www.researchgate.net/publication/278695894_Mean_Shift_Based_Automatic_Detection_of_Exudates_in_Retinal_Images,2
79,UNAM;UNAM;Asociación para Evitar la Ceguera en México I.A.P;Asociación para Evitar la Ceguera en México I.A.P;Asociación para Evitar la Ceguera en México I.A.P,Optic disc and macula detection in fundus images by means of template matching,2014,Tzolkin Garduno-Alvarado;M. Elena Martinez-Perez;Maria A. Martinez-Castellanos;Luvia Rodriguez-Quinones;Samantha M. Salinas-Longoria,2;3;4;5,10.1109/EMBC.2014.6943547,reales,38,creados,no,si,None,https://pubmed.ncbi.nlm.nih.gov/25569915/,4
80,UNAM;UNAM;UAM,Deep Learning Spatial Compounding from Multiple Fetal Head Ultrasound Acquisitions,2020,Jorge Perez-Gonzalez;Nidiyare Hevia Montiel;Verónica Medina Bañuelos,2;3,10.1007/978-3-030-60334-2_30,reales,18,creados,no,si,None,https://www.researchgate.net/publication/345999208_Deep_Learning_Spatial_Compounding_from_Multiple_Fetal_Head_Ultrasound_Acquisitions,2
81,UNAM;UNAM;UNAM;UNAM;UNAM;UNAM;Insitituto Nacional de Rehabilitacion,Mammographic image analysis and computer assisted biopsy of breast tumors,2011,Fernando Arámbula Cosío;Nidiyare Hevia;Eric Lira;Cresencio García;Rosa Ma. Quispe;Bartolome Reyes;Eric Hazan Lasri,2;5,10.1109/BMEI.2011.6098250,sinteticos,5,creados,no,no,None,https://www.researchgate.net/publication/220714946_Mammographic_image_analysis_and_computer_assisted_biopsy_of_breast_tumors,2
82,UNAM;UNAM;UNAM;UAM;UAM,P300 Detection Based on EEG Shape Features,2016,Montserrat Alvarado-González;Edgar Garduño;Ernesto Bribiesca;Oscar Yáñez-Suárez;Verónica Medina-Bañuelos,1;5,10.1155/2016/2029791,reales,21,Dataset creado por el LINI de la UAM (P300 Akimpech Database),si,si,https://akimpech.izt.uam.mx/p300db/p300db.html,https://www.researchgate.net/publication/289984682_P300_Detection_Based_on_EEG_Shape_Features,1
83,UNAM;UNAM;Centro Medico ABC;Instituto Nacional de Neurología y Neurocirugía;UNAM;Centro Medico ABC,Neuromorphometry of primary brain tumors by magnetic resonance imaging,2015,Nidiyare Hevia-Montiel;Pedro I. Rodriguez-Perez;Paul J. Lamothe-Molina;Alfonso Arellano-Reynoso;Ernesto Bribiesca;Marco A. Alegria-Loyola,1,10.1117/1.JMI.2.2.024503,reales;reales,11;9,Instituto Nacional de Neurología y Neurocirugía;Montreal Neurological Institutes Brain Images of Tumors for Evaluation,si;no,no;si,None;http://www.bic.mni.mcgill.ca/~laurence/data/data.html,https://www.researchgate.net/publication/276466402_Neuromorphometry_of_primary_brain_tumors_by_magnetic_resonance_imaging,1
84,IMAGINA Laboratory DIMAp - UFRN;IMAGINA Laboratory DIMAp - UFRN;UNAM,Texture Fuzzy Segmentation using Adaptive Affinity Functions,2012,Bruno M. Carvalho;Tiago S. Souza;Edgar Garduño,0,10.1145/2245276.2245288,sinteticos,10,Brodatz Texture Dataset,si,no,https://www.ux.uis.no/~tranden/brodatz.html,https://www.researchgate.net/publication/254005594_Texture_fuzzy_segmentation_using_adaptive_affinity_functions,0
85,Hospital Civil de Guadalajara;UNAM;UNAM;Hospital Infantil de México;Hospital Civil de Guadalajara,Temporary morphological changes in plus disease induced during contact digital imaging,2011,LC Zepeda-Romero;ME Martinez-Perez;S Ruiz-Velasco;MA Ramirez-Ortiz;JA Guitierrez-Padilla,2,10.1038/eye.2011.170,reales,10,Hospital Civil de Guadalajara,no,si,None,https://pubmed.ncbi.nlm.nih.gov/21760627/,1
86,UNAM;Universidad de Papaloapan;IPN,Early Breast Cancer Detection by Magnetic Induction Spectroscopy,2013,Nidiyare  Hevia Montiel;Eduardo Sanchez Soto;Cesar Gonzales Diaz,1,https://doi.org/10.11239/jsmbe.51.R-196,reales;reales,22;21,creados;creados,no,si,None,https://www.jstage.jst.go.jp/article/jsmbe/51/Supplement/51_R-196/_article/-char/ja/,1
87,INAOE;INAOE;INAOE,An Algorithm for Computing Goldman Fuzzy Reducts,2017,J. Ariel Carrasco-Ochoa;Manuel S. Lazo-Cortes;Jose Fco. Martinez-Trinidad,0,10.1007/978-3-319-59226-8_1,reales;reales;reales;reales;reales;reales;relaes;reales;reales;reales,625;1473;150;1484;336;303;57;345;214;768,Balance Scale;Contraceptive Method Choice;Iris;Yeast;Ecoli;Heart Disease Cleveland;Labor;Liver Disorder;Glass;Pima Indians Diabetes,si;si;si;si;si;si;si;si;si;si,no;no,https://archive.ics.uci.edu/ml/datasets/Balance+Scale;https://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice;,https://sci-hub.se/10.1007/978-3-319-59226-8_1,0
88,BUAP;BUAP;BUAP;BUAP;BUAP,Parameter Experimentation for Epileptic Seizure Detection in EEG Signals using Short-Time Fourier Transform,2019,Ricardo Ramos-Aguilar;J. Arturo Olvera-Lopez;Ivan Olmos-Pineda;Susana Snchez-Urrieta;Manuel Martin-Ortiz,4,10.13053/rcs-148-9-7,reales,4097,Bonn University EGG Dataset,si,no,https://sccn.ucsd.edu/~arno/fam2data/publicly_available_EEG_data.html,https://www.researchgate.net/publication/336510084_Parameter_Experimentation_for_Epileptic_Seizure_Detection_in_EEG_Signals_using_Short-Time_Fourier_Transform,1
89,BUAP;BUAP;BUAP;BUAP,Time-Frequency Analysis of EEG Spectrograms using 2-D Gabor Filters for Epileptic Seizure Classification,2018,Ricardo Ramos-Aguilar;J. Arturo Olvera-Lopez;Ivan Olmos-Pineda;Manuel Martín-Ortíz,0,10.13053/rcs-147-11-3,reales,4097,Bonn University EGG Dataset,si,no,https://sccn.ucsd.edu/~arno/fam2data/publicly_available_EEG_data.html,https://www.researchgate.net/publication/326449741_Time-Frequency_Analysis_of_EEG_Spectrograms_using_2-D_Gabor_Filters_for_Epileptic_Seizure_Classification,0
90,BUAP;BUAP;BUAP;Universidad Politecnica de Sinaloa,Hand Vein Infrared Image Segmentation for Biometric Recognition,2014,Ignacio Irving Morales-Montiel;J. Arturo Olvera-López;Manuel Martín-Ortiz;Eber E. Orozco-Guillen,0,10.13053/rcs-80-1-5,reales,6000,Tecnocampus Hand Image Database,no,no,http://splab.cz/en/download/databaze/tecnocampus-hand-image-database,https://www.researchgate.net/publication/324068541_Hand_Vein_Infrared_Image_Segmentation_for_Biometric_Recognition,0
91,BUAP;BUAP;BUAP;BUAP,Mouth and eyebrow segmentation for emotion recognition using interpolated polynomials,2018,Jesus García-Ramírez;J. Arturo Olvera-López;Ivan Olmos-Pineda;Manuel Martín-Ortíz,0,10.3233/JIFS-169496,reales;reales;reales,474;213;43,MMI;Jaffe;VidTIMIT,si;si;si,no;no;no,https://mmifacedb.eu/;https://zenodo.org/record/3451524;https://www.conradsanderson.id.au/vidtimit/,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs169496,0
92,BUAP;BUAP;Laboratorios Clinicos de Puebla;BUAP,An Algorithm to Classify DNA Sequences of Hepatitis C Virus Based on Localized Conserved Regions and Heuristic Search,2019,Sarahi Zúñiga-Herrera;Ivan Olmos-Pineda;Javier Garcés-Eisele;Mario Rossainz-López,1,"ISSN 1870-4069 Research in Computing Science 148(9), 2019",reales,reales,GenBank,si,no,https://www.ncbi.nlm.nih.gov/genbank/,https://www.rcs.cic.ipn.mx/2019_148_9/An%20Algorithm%20to%20Classify%20DNA%20Sequences%20of%20Hepatitis%20C%20Virus%20Based%20on%20Localized%20Conserved.pdf,1
93,INAOE;INAOE;INAOE;INAOE;INAOE;BUAP;IMSS;IMSS,Segmentation and Classification of Bone Marrow Cells Images Using Contextual Information for Medical Diagnosis of Acute Leukemias,2015,Carolina Reta;Leopoldo Altamirano;Jesus A. Gonzalez;Raquel Diaz-Hernandez;Hayde Peregrina;Ivan Olmos;Jose E. Alonso;Ruben Lobato,1;4;5,https://doi.org/10.1371/journal.pone.0130805,reales,633,Coleccion de imagenes del IMSS,con permiso,si,None,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0130805,3
94,BUAP;INAOE;INAOE;IMSS;IMSS,P-088 A medical support diagnosis tool for morphological acuteleukemia identification,2013,I. Olmos;J. Gonzalez;L. Altamirano;J. Alonso;R. Lobato,0,10.1016/S0145-2126(13)70137-1,reales,1028,Dataset de UMAE – IMSS Leucemia,con permiso,si,None,https://www.infona.pl/resource/bwmeta1.element.elsevier-20521e09-0a80-361d-a2a6-c1c3de9bfc1d,0
95,INAOE;BUAP;INAOE;INAOE;INAOE;INAOE;IMSS;IMSS,Leukemia identification from bone marrow cells images using a machine vision and data mining strategy,2013,Jesus A. Gonzalez;Ivan Olmos;Leopoldo Altamirano;Blanca A. Morales;Carolina Reta;Martha C. Galindo;Jose E. Alonso;Ruben Lobato,4;5;6,10.3233/IDA-2010-0476,reales,1028,Dataset de UMAE – IMSS Leucemia,con permiso,si,None,https://www.researchgate.net/publication/220571549_Leukemia_identification_from_bone_marrow_cells_images_using_a_machine_vision_and_data_mining_strategy,3
96,INAOE;INAOE;University of Texas;INAOE;INAOE,Leukocytes Segmentation Using Markov Random Fields,2011,Carolina Reta;Leopoldo Altamirano;Jesus A. Gonzalez;Raquel Diaz-Hernandez;Jose S. Guichard,1;4,10.1007/978-1-4419-7046-6_35,reales,200,Coleccion de imagenes del IMSS San Jose,con permiso,si,None,https://www.researchgate.net/publication/50832902_Leukocytes_Segmentation_Using_Markov_Random_Fields,2
97,INAOE;University of Texas;INAOE;INAOE;INAOE,Microcalcifications Detection Using Fisher's Linear Discriminant and Breast Density,2011,"G.A Rodriguez;Jesus A. Gonzales; Leopoldo Altamirano Robles;Jose S. Guichard;R. Diaz",5,10.1007/978-1-4419-7046-6_45,reales;reales,322;336,Mammographic Image Analysis Society (MIAS);ISSSTEP Mammograms,si;con permiso,no;si,https://www.mammoimage.org/databases/;None,https://www.researchgate.net/publication/50832912_Microcalcifications_Detection_Using_Fisher's_Linear_Discriminant_and_Breast_Density,1
98,BUAP;BUAP;BUAP,Automatic Segmentation in Breast Thermographic Images Based on Local Pattern Variations,2018,Daniel Sanchez Ruiz;Ivan Olmos Pineda;J. Arturo Olvera Lopez,0,10.13053/rcs-147-11-5,reales,287,DMR (Database for Mastology Research),si,no,http://visual.ic.uff.br/dmi/,https://www.researchgate.net/publication/339207298_Automatic_Segmentation_in_Breast_Thermographic_Images_Based_on_Local_Pattern_Variations,0
99,INAOE;INAOE;INAOE;Universidad de Colombia,Image Classification through Text Mining techniques: a Proposal,2014,Adrain Pastor López-Monroy;Manuel Montes-y-Gómez;Hugo Jai Escalante;Fabio A. Gonzáles,0,10.13053/rcs-71-1-7,reales,1417,Data set de Micro-structural tissue analysis for automatic histopathological image annotation 10.1002/jemt.21063 ,con permiso,no,None,https://rcs.cic.ipn.mx/2014_71/Image%20Classi_cation%20through%20Text%20Mining%20techniques_%20a%20Proposal.pdf,0
100,INAOE;INAOE;INAOE;Georgia State University,Hybrid feature selection method for biomedical datasets,2012,Saul Solorio Fernandez;Jose Francisco Marínez Trinidad;Jesus Ariel Carrasco Ochoa;Yan Quing Zhang,0,10.1109/CIBCB.2012.6217224,reales;reales;reales;reales,45;38;144;60,reduced lymphoma;leukemia;Global Cancer MAP;dataset C of embryonal tumors of the central nervous system,si;si;si;si,no,http://www.upo.es/eps/aguilar/datasets.htm;http://www.upo.es/eps/aguilar/datasets.htm;http://www.upo.es/eps/aguilar/datasets.htm;http://www.upo.es/eps/aguilar/datasets.htm,https://www.researchgate.net/publication/237151372_Hybrid_feature_selection_method_for_biomedical_datasets,0
101,INAOE;INAOE;INAOE,A systematic evaluation of filter Unsupervised Feature Selection methods,2020,Saúl Solorio-Fernández;J. Ariel Carrasco-Ochoa;José Fco. Martínez-Trinidad,0,https://doi.org/10.1016/j.eswa.2020.113745,reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales;reales,120;226;205;286;6597;1473;690;1000;540;366;336;194;303;294;270;155;368;3772;351;150;12960;345;32;148;106;124;169;122;8124;5620;164;10992;768;90;2310;208;683;4601;3190;76;151;470;958;846;435;990;5000;569;178;101;1560;165;400;130;62;2010;203;1440;96;50;72;102;171;72;69;174;200;100;100;1427;1943;1993;111;85;85;187,Inflamations;Audiology;Automovile;Breast-Cancer;Clean-2;Contraception;Credit-aprova;Credit-German;Cylinder-bands;Dermatology;Ecoli;Flags;Heart-c;Heart-h;Heart-statlog;Hepatitis;Horse-colic;Hypothyroid;Ionosphere;Iris;Nursery; Liver-disorders; Lung-cancer;Lymphography;Promoters;Monks-1-train;Monks-2-train;Monks-3-train;Mushroom;Optdigits;Parkinsons;Pendigits;Pima;Post-operative;Segment;Sonar;Soybean;Spambase;Splice;Sponge;Tae;Thoracic; Tic-tac-toe;Silhouettes;Vote;Vowel; Waveform-5000;Wdbc;Wine;Zoo;Isolet;Yale;OLR;WarpAR10P;Colon;WarpPIE10P;Lung;COIL20;Lymphoma;GLIOMA;ALLAML;Prostate_GE;TOX_171;Leukemia;Nci9;Carcinom;Arcene;Orlraws10P;Pixraw10P;RELATHE;PCMAC;BASEHOCK;CLL_SUB_111;GLI_85;SMK_CAN_187,si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;si;,no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no,50 * https://archive.ics.uci.edu/ml/index.php;25 * https://jundongl.github.io/scikit-feature/datasets.html,https://www.sciencedirect.com/science/article/abs/pii/S0957417420305698,0
102,INAOE;INAOE,Standardization-refinement domain adaptation method for cross-subject EEG-based classification in imagined speech recognition,2020,Magdiel Jimenez-Guarneros;Pilar Gómez-Gil ,2, https://doi.org/10.1016/j.patrec.2020.11.013,reales;reales,495;200,Dataset de  Implementing a fuzzy inference system in a multiobjective EEG channel selection model for imagined speech classification;Dataset de Inferring imagined speech using EEG signals: a new approach using Riemannian manifold features,con permiso;con permiso,si;no,None;None,https://www.sciencedirect.com/science/article/abs/pii/S0167865520304244,1
103,INAOE;INAOE,Segmentation of MRI brain scans using spatial constraints and 3D features.,2020,Jonas Grande-Barreto;Pilar Gomez-Gil ,2,10.1007/s11517-020-02270-1,sinteticos;reales,20;38,BrainWeb dataset;IBSR dataset,si;si,no;no,https://brainweb.bic.mni.mcgill.ca/brainweb/;https://www.nitrc.org/projects/ibsr/,https://europepmc.org/article/MED/33155095,1
104,INAOE;INAOE;INAOE;Universidad Veracruzana,Characterization of glycated hemoglobin based on Raman spectroscopy and artificial neural networks,2020,N. Gonzalez-Viveros;J. Castro-Ramos;P. Gomez-Gil;H. H. Cerecedo-Núñez,1;3,https://doi.org/10.1016/j.saa.2020.119077,sinteticos,10,creados,no,no,None,https://www.sciencedirect.com/science/article/abs/pii/S1386142520310568,2
105,INAOE;INAOE;INAOE;INAOE;New Mexico Tech;INAOE,Classifiers Ensemble of HMM and d-Vectors in Biometric Speaker Verification,2020,Juan Carlos Atenco-Vazquez;Juan C. Moreno-Rodriguez;Israel Cruz-Vega;Pilar Gomez-Gil;Rene Arechiga;Juan Manuel Ramirez-Cortes,4,10.1007/978-3-030-60884-2,reales,1020,Creados BIOMEX-DB,no,si,None,https://www.semanticscholar.org/paper/Classifiers-Ensemble-of-HMM-and-d-Vectors-in-Atenco-Vazquez-Moreno-Rodriguez/76d4bac5c8ff571a8e5d649a861e93159e6af7e4,1
